Date,Daily Max 8-hour CO Concentration
12/08/2017,1.7
12/09/2017,2.2
12/10/2017,2.1
12/11/2017,1.2
12/12/2017,1
12/13/2017,0.6
12/14/2017,1.3
12/15/2017,1.3
12/16/2017,0.6
12/17/2017,0.5
12/18/2017,0.4
12/19/2017,0.4
12/20/2017,0.6
12/21/2017,0.6
12/22/2017,0.5
12/23/2017,0.4
12/24/2017,0.4
12/25/2017,0.6
12/26/2017,0.6
12/27/2017,0.7
12/28/2017,0.6
12/29/2017,0.5
12/30/2017,0.5
12/31/2017,0.4
01/01/2017,0.2
01/02/2017,0.3
01/03/2017,0.3
01/04/2017,0.3
01/05/2017,0.5
01/06/2017,0.5
01/07/2017,0.3
01/08/2017,0.2
01/09/2017,0.3
01/10/2017,0.3
01/11/2017,0.3
01/12/2017,0.4
01/13/2017,0.4
01/14/2017,0.4
01/15/2017,0.6
01/16/2017,0.6
01/17/2017,0.4
01/18/2017,0.3
01/19/2017,0.2
01/20/2017,0.3
01/21/2017,0.5
01/22/2017,0.3
01/24/2017,0.6
01/25/2017,0.6
01/26/2017,0.4
01/27/2017,0.5
01/28/2017,0.3
01/29/2017,0.3
01/30/2017,0.2
01/31/2017,0.2
02/01/2017,0.3
02/02/2017,0.2
02/03/2017,0.4
02/04/2017,0.2
02/05/2017,0.2
02/06/2017,0.2
02/07/2017,0.3
02/08/2017,0.3
02/09/2017,0.3
02/10/2017,0.2
02/11/2017,0.3
02/12/2017,0.3
02/13/2017,0.4
02/14/2017,0.7
02/15/2017,0.4
02/16/2017,0.2
02/17/2017,0.2
02/18/2017,0.3
02/19/2017,0.3
02/20/2017,0.3
02/21/2017,0.3
02/22/2017,0.3
02/23/2017,0.4
02/24/2017,0.3
02/25/2017,0.3
02/26/2017,0.2
02/27/2017,0.3
02/28/2017,0.3
03/01/2017,0.2
03/02/2017,0.3
03/03/2017,0.3
03/04/2017,0.2
03/05/2017,0.3
03/06/2017,0.2
03/07/2017,0.3
03/08/2017,0.3
03/09/2017,0.4
03/10/2017,0.3
03/11/2017,0.3
03/12/2017,0.2
03/13/2017,0.4
03/14/2017,0.4
03/15/2017,0.3
03/16/2017,0.2
03/17/2017,0.4
03/18/2017,0.3
03/19/2017,0.2
03/20/2017,0.3
03/21/2017,0.4
03/22/2017,0.3
03/23/2017,0.2
03/24/2017,0.2
03/25/2017,0.2
03/26/2017,0.2
03/27/2017,0.2
03/28/2017,0.2
03/29/2017,0.2
03/30/2017,0.2
03/31/2017,0.3
04/01/2017,0.3
04/02/2017,0.2
